20230319 20:50:21.065719 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065726 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065733 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065742 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065764 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065772 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065805 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065816 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065833 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065852 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065861 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065876 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#449955] from 127.0.0.1:35166 - tcpserver.cc:53
20230319 20:50:21.065885 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065942 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065955 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065979 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065990 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.065999 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066009 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066027 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066068 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066098 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066106 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066260 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066284 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066324 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066333 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066341 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066358 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066367 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066377 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066389 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066455 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066464 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066494 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066503 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066511 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066520 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066536 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066556 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066563 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
20230319 20:50:21.066593 56899 ERROR TcpConnection::HandleError : Broken pipe - tcpconnection.cc:60
