20230319 20:50:00.747730 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747731 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#24] from 127.0.0.1:49110 - tcpserver.cc:53
20230319 20:50:00.747733 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747741 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#25] from 127.0.0.1:49120 - tcpserver.cc:53
20230319 20:50:00.747745 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747749 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#26] from 127.0.0.1:49128 - tcpserver.cc:53
20230319 20:50:00.747751 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#16] - tcpserver.cc:38
20230319 20:50:00.747751 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747753 56899 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747758 56901 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747775 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747790 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#27] from 127.0.0.1:49142 - tcpserver.cc:53
20230319 20:50:00.747793 56900 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747796 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#19] - tcpserver.cc:38
20230319 20:50:00.747806 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#28] from 127.0.0.1:49144 - tcpserver.cc:53
20230319 20:50:00.747821 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#29] from 127.0.0.1:49152 - tcpserver.cc:53
20230319 20:50:00.747823 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#12] - tcpserver.cc:38
20230319 20:50:00.747824 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#20] - tcpserver.cc:38
20230319 20:50:00.747830 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#30] from 127.0.0.1:49156 - tcpserver.cc:53
20230319 20:50:00.747831 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747838 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#31] from 127.0.0.1:49166 - tcpserver.cc:53
20230319 20:50:00.747844 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#32] from 127.0.0.1:49176 - tcpserver.cc:53
20230319 20:50:00.747850 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#33] from 127.0.0.1:49186 - tcpserver.cc:53
20230319 20:50:00.747856 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#34] from 127.0.0.1:49196 - tcpserver.cc:53
20230319 20:50:00.747858 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#23] - tcpserver.cc:38
20230319 20:50:00.747863 56902 INFO  connection_state= - httpserver.cc:52
20230319 20:50:00.747865 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#35] from 127.0.0.1:49220 - tcpserver.cc:53
20230319 20:50:00.747867 56897 INFO  TcpServer::HandleCloseInLoop - remove connection [0.0.0.0:8080#15] - tcpserver.cc:38
20230319 20:50:00.747879 56897 INFO  TcpServer::HandleNewConnection - new connection [0.0.0.0:8080#36] from 127.0.0.1:49194 - tcpserver.cc:53
